Year,2020,,,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Nevada,"1,405,376","703,486","669,890","1,125,385","539,260","512,058","37,384","1,014,918","531,373","463,567","967,848","533,736","412,827","829,587","397,190","418,690","608,970","279,978","301,575","15,008","464,279","203,974","199,244","43,986","506,318","189,148","175,828","132,580","350,067","132,738","206,040","286,667","91,655","188,770","247,885","66,666","155,017","17,651","201,876","92,479","101,273","181,766","66,016","115,750","154,218","60,598","73,188","20,432","135,433","79,339","56,094","107,267","54,880","52,387",0,"96,689","40,640","56,049",0,"82,190","31,688","50,502","62,117","31,291","29,357",0,"1,469","54,234","29,623","24,611","53,174","31,945","21,229","43,848","31,925","11,923","41,430","28,756","12,674",0,"32,417","14,090","18,327","26,921","5,909","11,243","9,769","27,194","9,851","15,479","1,864","33,316","17,776","12,127","3,065","20,115","7,986","3,196","5,620","3,313","24,526","11,212","10,775","2,103","12,115","3,982","6,864",925,"10,196","6,347","3,849","10,314","8,376","1,938","10,878",714,"2,811","7,264","12,278","5,149","7,088","12,797","5,578","7,193","18,345","9,613","8,732",0,"19,691","9,308","10,383","14,649","6,236","8,413","11,698","5,218","6,480","16,420","6,594","9,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"806,182","424,921","365,654","744,296","348,526","345,790","30,777","710,972","369,561","329,918","710,970","384,826","316,534","677,738","340,511","331,237","569,081","266,348","273,559","22,198","499,175","246,214","196,532","48,390","537,945","209,040","202,484","121,337","450,525","163,696","281,537","388,954","120,395","267,051","383,999","108,864","221,705","49,693","339,618","147,635","185,935","334,059","116,435","213,724","297,299","130,589","154,903","11,173","288,093","184,064","104,029","295,761","137,772","157,989",0,"266,994","90,364","176,519",111,"272,950","106,663","166,287","231,440","107,995","121,299",7,"1,970","229,627","119,663","109,916","235,419","125,292","110,127","218,114","108,460","104,642","205,520","100,680","103,629",947,"196,757","80,715","115,404","164,769","57,201","98,575","8,993","159,092","62,662","95,196","1,234","89,127","43,781","43,725","1,318","87,961","34,724","32,927","17,794","1,981","89,600","33,655","53,149","1,299","90,161","34,074","54,163","1,090","92,364","35,489","54,799","83,670","21,650","57,444","89,329","42,081","45,658",293,"90,835","43,456","45,728","84,586","39,198","43,254","86,361","40,797","44,856",528,"80,141","38,510","41,540","68,906","31,425","37,168","68,304","30,575","37,718","69,630","33,034","36,596","65,943","25,887","37,519","2,125",412,"69,774","31,891","37,473",410,"50,535","28,503","15,486","6,546","50,104","27,763","14,781","7,560","49,187","27,160","17,866","4,161","59,956","32,774","26,310","24,925","18,697","6,228",0,0,"43,793","24,855","18,938",0,"44,035","20,212","23,823"
New Jersey,"4,564,216","2,608,335","1,883,274","3,906,723","2,148,278","1,601,933","72,477","3,651,140","2,126,610","1,478,749","3,877,407","2,215,422","1,613,207","3,612,137","1,911,430","1,670,003","3,187,226","1,788,850","1,284,173","94,554","3,075,807","1,652,329","1,103,078","262,134","3,343,594","1,436,206","1,356,865","521,829","3,099,553","1,320,352","1,743,192","3,217,862","1,261,323","1,933,630","2,975,684","1,147,364","1,546,557","234,632","3,014,472","1,444,653","1,509,688","2,997,229","1,102,211","1,845,502","2,875,395","1,264,206","1,325,467","262,187","2,846,770","1,867,671","963,843","2,773,111","1,385,415","1,363,324","24,372","2,484,312","850,337","1,606,942","27,033","2,419,554","1,015,902","1,374,613","1,949,555","895,455","981,124",0,"42,683","1,963,761","987,874","961,335","1,972,552","1,016,808","945,475","1,820,437","1,083,850","720,322","1,630,063","806,630","775,684","42,998","1,549,381","616,517","926,050","1,086,079","297,743","675,162","108,901","903,943","256,887","611,541","27,141","494,442","211,018","268,982","10,405","432,739","178,289","88,835","145,410","15,948","467,111","182,522","265,298","10,249","432,547","164,566","245,164","9,587","401,050","164,808","221,707","371,211","133,695","221,535","337,623","171,066","156,101",985,"303,801","151,508","144,360","260,921","127,798","123,440","245,928","122,565","120,555","2,617","220,193","115,962","103,517","168,112","76,456","91,656","163,132","83,001","80,131","128,747","68,024","60,723","121,215","62,869","58,346",0,0,"99,396","46,943","28,338","24,115","83,220","44,305","38,556",359,"77,735","36,901","40,015",819,"75,944","37,495","38,318",131,"64,454","31,034","33,351","51,729","25,592","26,137",0,0,"47,760","23,826","23,466",468,"45,570","21,809","23,753"
New Mexico,"923,965","501,614","401,894","798,319","385,234","319,667","74,541","783,757","415,335","335,788","830,158","472,422","346,832","756,304","370,942","376,930","598,605","286,783","286,417","21,251","556,074","273,495","232,751","32,257","569,986","261,617","212,824","91,895","521,287","244,497","270,341","514,370","201,769","307,101","456,237","167,826","250,779","29,459","416,590","201,148","211,419","385,931","141,084","235,606","327,281","130,081","169,692","25,737","327,615","194,017","131,838","311,107","156,027","153,733","1,347","253,926","106,098","146,788","1,040","238,608","105,661","132,170","187,063","105,464","80,303",0,"1,037","152,225","81,389","70,688","183,258","103,699","79,315","169,136","106,037","61,727","151,606","95,089","54,217","1,776","118,014","48,211","69,645","112,830","48,542","54,745","9,543","105,406","46,668","57,634",0,"66,787","33,527","31,152","1,996","49,376","20,437","17,733","8,347","2,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"8,612,754","5,244,886","3,251,997","7,721,795","4,556,142","2,819,557","176,600","7,081,536","4,485,877","2,490,496","7,640,948","4,804,945","2,752,771","7,391,954","4,314,280","2,962,567","6,831,178","4,113,791","2,405,676","244,398","6,316,129","3,756,177","1,933,492","503,458","6,926,925","3,444,450","2,346,649","1,090,721","6,485,683","3,347,882","3,081,871","6,806,810","3,119,609","3,664,763","6,201,959","2,728,372","2,893,831","467,801","6,534,420","3,389,558","3,100,791","7,161,830","2,951,084","4,192,778","6,790,066","3,378,470","3,007,932","358,864","7,166,015","4,913,156","2,243,559","7,291,079","3,830,085","3,446,419","14,575","7,093,336","2,750,769","4,340,340","2,227","7,128,241","3,104,601","3,952,815","6,178,502","2,780,204","2,841,163",16,"509,559","6,316,817","3,304,238","2,987,647","6,313,897","3,251,918","3,027,478","5,596,398","3,293,222","2,180,670","4,688,614","2,534,959","1,937,963","177,397","4,405,626","2,089,863","2,193,344","3,263,939","950,796","1,820,058","474,913","2,898,513","781,238","1,871,167","203,201","1,706,305","759,426","879,238","45,944","1,588,315","655,573","455,487","390,093","63,434","1,638,350","667,468","870,070","38,451","1,617,770","683,981","859,533","36,883","1,548,042","678,462","822,013","1,423,876","551,369","819,838","1,336,793","654,868","609,350","16,429","1,319,748","635,965","650,338","1,167,169","563,154","562,005","1,103,945","534,511","555,544","12,373","1,015,503","521,949","489,207","828,020","387,282","440,738","849,771","429,883","419,888","730,721","361,986","368,735","675,156","312,510","362,646",0,0,"596,486","195,878","276,004","124,604","522,294","262,083","234,882","25,329","455,944","114,319","218,583","120,497","485,882","237,588","232,482","15,812","441,543","212,733","226,001","305,343","166,795","138,548",0,0,"323,393","168,497","154,896",0,"270,975","139,412","131,563"
North Carolina,"5,524,802","2,684,292","2,758,773","4,741,564","2,189,316","2,362,631","130,126","4,505,372","2,178,391","2,270,395","4,310,789","2,142,651","2,128,474","3,501,007","1,525,849","1,961,166","2,911,262","1,257,692","1,631,163",0,"2,515,807","1,107,849","1,225,938","168,059","2,611,850","1,114,042","1,134,661","357,864","2,134,370","890,167","1,237,258","2,175,361","824,287","1,346,481","1,855,833","875,635","915,018","52,800","1,677,906","927,365","741,960","1,518,612","438,705","1,054,889","1,587,493","464,113","627,192","496,188","1,424,983","800,139","624,844","1,368,556","713,136","655,420",0,"1,165,592","590,530","575,062",0,"1,210,910","652,803","558,107","791,209","459,070","258,572","69,652","3,915","790,554","527,399","263,155","822,648","609,015","213,633","839,464","616,141","223,283","711,501","497,566","208,344","5,591","635,150","286,227","348,923","482,687","284,270","191,753","6,651","538,758","305,447","232,848",446,"289,835","168,383","120,890",509,"243,918","144,507","29,139","69,130","1,025","252,554","136,928","114,887",372,"207,818","124,091","82,442",124,"292,518","157,733","132,997","331,337","174,408","155,122","280,270","132,951","100,346","44,336","285,563","147,902","134,784","268,356","142,905","125,021","240,946","124,204","115,616","1,126","233,911","125,427","108,484","165,163","70,130","94,772","181,498","84,559","96,939",,,,"96,712","2,737",0,"48,846","45,129","84,963","48,243",0,"36,720","78,891","39,788","39,043",0,"79,852","35,772","44,054",0,"82,521","39,287","43,232",0,"80,735","34,168","46,567","50,153","26,631",0,"23,521",0,"29,799","25,261","4,538",0,"51,747","37,814","13,918"
North Dakota,"361,819","114,902","235,595","344,360","93,758","216,794","21,434","322,627","124,827","188,163","317,738","141,403","168,887","312,833","111,052","196,651","288,267","95,284","174,852","9,497","266,411","106,905","125,050","32,515","308,133","99,168","136,244","71,084","297,261","127,739","166,559","308,971","104,429","200,336","301,545","79,189","193,695","23,640","297,094","136,078","153,470","280,514","100,384","174,109","247,882","94,769","138,669","14,244","258,389","149,784","108,207","278,431","123,963","154,310",158,"253,991","96,742","156,766",483,"270,127","76,694","191,712","220,716","95,812","115,139",374,"8,391","220,171","100,144","118,535","280,775","124,036","154,590","273,716","163,148","72,751","256,290","178,350","71,772","3,521","239,867","106,648","131,441","199,081","13,858","94,931","89,922","205,776","37,422","160,072","8,282","115,390","55,206","53,471","5,716","86,580","29,555","23,090","25,726","6,966","94,525","32,885","57,680","2,421","70,014","14,273","52,595","2,009","84,216","33,385","46,526","47,391","20,686","26,335","36,118",0,"17,519","17,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"5,932,398","2,679,165","3,154,834","5,536,547","2,394,169","2,841,006","174,498","5,590,934","2,827,709","2,661,437","5,721,831","2,940,044","2,677,820","5,627,908","2,741,167","2,859,768","4,705,457","2,186,190","2,351,209","117,857","4,534,434","2,148,222","1,859,883","483,207","4,939,964","1,984,942","1,894,310","1,036,426","4,393,699","1,939,629","2,416,549","4,547,619","1,825,440","2,678,560","4,283,603","1,752,414","2,206,545","254,472","4,111,873","2,011,621","2,000,505","4,094,787","1,558,889","2,441,827","3,959,698","1,700,586","1,791,014","467,495","3,969,196","2,498,331","1,470,865","4,161,859","1,944,248","2,217,611",0,"3,702,265","1,439,655","2,262,610",0,"3,700,758","1,600,367","2,100,391","2,936,071","1,452,791","1,445,684",0,"37,596","3,153,056","1,570,763","1,582,293","3,319,912","1,733,139","1,586,773","3,012,589","1,747,140","1,127,855","2,609,728","1,301,695","1,227,319","64,094","2,508,346","864,210","1,627,546","2,016,237","477,888","1,176,130","357,948","2,021,653","780,037","1,182,022","57,147","1,165,086","604,161","514,753","38,092","1,037,094","424,834","278,168","229,807","90,144","1,121,552","502,721","572,312","33,795","1,004,393","344,674","600,095","36,260","1,040,073","474,882","543,918","1,014,295","477,497","525,991","850,164","404,115","405,187","14,850","840,361","396,455","416,054","784,610","368,280","400,082","724,967","340,821","375,048","6,456","658,649","323,182","330,698","529,436","244,321","281,852","518,788","238,621","280,167","471,253","205,599","265,654","432,862","187,421","221,809","11,303","12,193","386,497","170,874","187,497","28,126","353,188","168,933","152,523","31,732","328,479","154,773","138,359","35,347","312,224","149,061","155,113","8,050","273,842","124,782","148,157","202,333","96,238","104,958",0,0,"158,294","81,246","76,539",509,"130,993","67,597","63,396"
Oklahoma,"1,560,699","503,890","1,020,280","1,452,992","420,375","949,136","83,481","1,334,872","443,547","891,325","1,462,661","502,496","960,165","1,463,758","503,966","959,792","1,234,229","474,276","744,337",0,"1,206,713","488,105","582,315","130,788","1,390,359","473,066","592,929","319,878","1,171,036","483,423","678,367","1,255,676","385,080","861,530","1,149,708","402,026","695,570","38,284","1,092,251","532,442","545,708","1,029,900","247,147","759,025","943,086","301,658","449,697","191,731","932,499","519,834","412,665","903,150","370,111","533,039",0,"859,350","385,581","473,769",0,"948,984","430,939","518,045","721,599","452,782","268,817",0,0,"722,636","401,549","319,424","826,212","474,313","348,872","749,740","501,069","245,122","704,633","516,468","188,165",0,"618,427","219,174","394,046","528,415","255,798","226,242","46,375","486,610","217,053","243,831","25,726","292,416","148,113","97,233","45,190","253,801","119,156","90,786",0,"41,674","254,983","122,363","110,474","21,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"2,374,321","1,340,383","958,448","2,001,336","1,002,106","782,403","94,231","1,789,270","970,488","754,175","1,827,864","1,037,291","738,475","1,836,782","943,163","866,831","1,533,968","720,342","713,577","77,357","1,377,760","649,641","538,152","121,221","1,462,643","621,314","475,757","354,091","1,201,694","616,206","560,126","1,226,527","536,479","685,700","1,181,516","456,890","571,044","112,389","1,029,876","490,407","492,120","927,946","392,760","486,686","819,622","358,866","408,433","49,683","786,305","501,017","282,779","776,421","367,402","408,060",959,"735,597","329,204","406,393",0,"695,059","270,579","420,815","524,080","243,147","260,904",0,"14,978","480,147","248,635","225,365","481,240","258,415","219,555","414,021","266,733","122,706","368,808","213,871","136,019","15,450","319,942","109,223","205,341","279,488","67,589","142,579","68,403","238,522","80,019","143,592","9,801","261,650","120,087","126,813","9,711","137,040","47,064","34,673","37,600","13,343","110,889","38,049","62,530","7,339","90,154","17,521","60,455","7,619","83,251","32,810","46,172","97,414","46,739","48,779","78,491","14,243","35,002","26,965","61,853","26,522","33,291","52,682","24,604","26,860","40,823","19,955","20,619",249,"29,881","14,157","15,214","20,147","7,742","11,818","22,086","11,125","10,961","18,345","8,457","9,888","14,761","4,131","5,344","5,074",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"6,938,383","3,461,147","3,378,992","6,166,938","2,926,458","2,970,742","146,719","5,754,939","2,990,274","2,680,434","6,015,476","3,276,363","2,655,885","5,769,590","2,938,095","2,793,847","4,913,119","2,485,967","2,281,127","103,392","4,506,118","2,215,819","1,801,169","430,984","4,959,810","2,239,164","1,791,841","902,667","4,536,251","2,194,944","2,300,087","4,844,903","2,228,131","2,584,323","4,561,501","1,937,540","2,261,872","292,921","4,620,787","2,328,677","2,205,604","4,592,105","1,796,951","2,714,521","4,747,928","2,259,405","2,090,017","378,582","4,822,690","3,130,954","1,673,657","5,006,541","2,556,282","2,439,956","10,303","4,576,503","1,981,769","2,585,252","9,482","4,580,969","2,146,269","2,415,789","3,735,148","1,752,426","1,902,197",0,"55,161","3,794,793","1,940,479","1,835,054","4,078,714","2,171,035","1,889,848","4,138,426","2,353,987","1,690,200","2,859,177","1,295,948","1,453,540","91,223","3,150,610","1,067,586","2,055,382","2,144,850","409,192","1,401,481","307,567","1,852,616","503,843","1,218,216","70,571","1,297,292","521,784","703,823","42,638","1,217,736","395,637","273,360","444,894","83,614","1,267,450","448,782","745,779","33,914","1,236,738","337,998","840,949","21,863","1,173,210","424,232","712,665","1,194,355","433,228","728,300","1,003,010","452,264","516,011","8,714","997,568","446,633","526,091","903,864","392,785","478,804","874,783","407,428","444,704","20,668","758,993","366,204","384,184","563,262","212,041","349,589","655,662","313,382","342,280","572,707","276,316","296,391","476,442","16,765","268,030","178,871","12,776","460,161","230,686","147,286","82,189","387,839","198,562","179,104","8,495","368,552","171,976","185,313","11,263","331,572","167,447","161,125","3,000","288,026","143,676","144,010","178,692","91,457","87,235",0,0,"158,638","91,949",0,"66,689","152,500","101,652","50,848"
Rhode Island,"517,757","307,486","199,922","464,144","252,525","180,543","14,746","446,049","279,677","157,204","471,766","296,571","165,391","437,134","259,760","169,046","409,112","249,508","130,555","25,052","390,284","233,050","104,683","43,723","453,478","213,299","131,601","105,045","404,620","225,123","177,761","410,492","197,106","212,080","416,072","198,342","154,793","59,819","411,170","227,636","181,249","415,808","194,645","220,383","385,000","246,518","122,359","15,678","390,091","315,463","74,615","405,535","258,032","147,502",1,"387,611","161,790","225,819",2,"414,498","203,293","210,935","327,702","188,736","135,787",0,"2,619","299,276","175,356","123,487","321,148","182,182","138,653","311,178","165,238","125,031","266,170","146,604","115,266","3,138","237,194","118,973","117,522","210,115","76,606","125,286","7,628","167,981","55,062","107,463","4,351","87,816","40,394","44,858","1,914","77,894","30,412","27,703","16,878","2,049","72,317","24,706","43,942","1,365","68,656","24,839","41,605",956,"56,548","19,812","33,784","54,785","14,459","37,437","53,196","24,336","26,975",228,"40,775","17,530","21,969","32,771","12,391","19,030","29,235","10,779","18,195",236,"26,627","10,712","15,787","18,994","5,329","13,665","19,541","6,548","12,993","22,432","8,470","13,962","19,951","7,707","12,244",0,0,"19,822","6,680","11,467","1,675","17,005","8,735","7,626",644,"11,155","3,646","6,779",730,"12,296","4,867","7,322",107,"8,621","3,301","5,278","5,674","2,964","2,710",0,0,"4,936","2,126","2,810",0,"3,575",821,"2,754"
South Carolina,"2,513,329","1,091,541","1,385,103","2,103,027","855,373","1,155,389","49,204","1,964,118","865,941","1,071,645","1,920,969","862,449","1,034,896","1,617,730","661,699","937,974","1,383,777","566,039","786,426","20,279","1,149,457","504,051","573,458","64,386","1,202,527","479,514","577,507","138,872","986,009","370,554","606,443","968,540","344,470","615,539","890,083","427,560","441,207","14,150","802,594","450,825","346,140","677,880","189,270","478,427","666,982","197,486","254,062","215,430","524,756","215,700","309,048","386,688","198,129","188,558",1,"300,583","136,372","75,700","88,511","341,086","173,004","168,082","142,571","34,423","5,386","102,607",154,"103,375","90,601","4,610","99,832","95,470","4,360","115,437","113,791","1,646","104,407","102,347","1,978",82,"68,605","62,700","5,858","50,752","49,008","1,123",620,"66,808","64,170","2,610",28,"63,952","61,846","1,550",135,"50,405","48,357",536,"1,293",164,"66,379","62,288","3,945",100,"55,118","52,563","2,554",0,"50,812","47,233","3,579","68,938","58,801","9,313","70,504","54,680","13,345","2,407","79,997","65,824","13,736","92,812","69,845","21,730","169,793","111,236","57,954",567,"182,683","90,897","91,786","95,452","22,699","72,290","107,538","45,237","62,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"422,609","150,471","261,043","370,111","117,466","227,731","20,850","363,815","145,039","210,610","381,975","170,924","203,054","388,215","149,244","232,584","316,269","118,804","190,700",0,"323,826","139,333","150,543","31,250","336,254","124,888","136,718","73,295","312,991","145,560","165,415","317,867","116,113","200,267","327,703","103,855","198,343","21,431","300,678","147,068","151,505","307,415","139,945","166,476","281,264","118,023","149,841","13,400","293,118","163,010","130,108","306,487","128,070","178,417",0,"293,857","122,288","171,569",0,"294,283","90,426","203,857","250,105","117,653","129,651",0,"2,801","232,076","96,711","135,365","308,427","131,362","177,065","296,452","160,137","125,977","288,438","183,515","99,212","1,551","261,865","102,660","157,603","203,868","27,214","101,299","75,355","182,237","35,938","110,692",0,"128,942","59,191","64,217","3,760","116,325","48,942",0,"58,811","4,662","114,775","40,266","67,536","2,846","101,395","21,969","72,083","3,138","96,124","39,544","54,530","82,950","41,225","41,042","70,513","9,081","34,888","26,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"3,053,851","1,143,711","1,852,475","2,508,027","870,695","1,522,925","70,397","2,460,904","960,709","1,462,330","2,601,982","1,087,437","1,479,178","2,434,949","1,035,160","1,383,336","2,076,181","981,720","1,061,949","19,781","1,894,105","909,146","863,530","105,918","1,982,638","933,521","841,300","199,968","1,636,250","679,794","947,233","1,711,993","711,714","990,212","1,617,616","783,051","787,761","35,991","1,476,346","825,879","633,969","1,201,182","357,293","813,147","1,248,617","351,233","472,592","424,792","1,143,946","634,947","508,965","1,051,792","481,453","556,577","13,762","939,404","456,507","462,288","20,609","892,553","443,710","446,147","550,283","270,402","202,914","73,815","1,864","510,692","308,707","200,311","522,823","351,601","169,153","475,538","327,083","146,520","390,256","259,473","126,752","1,796","363,473","167,343","195,388","300,220","158,682","130,728","10,610","428,626","206,558","219,829","2,239","272,190","153,280","116,223","2,542","251,933","133,021","60,475","54,041","3,564","257,180","135,608","117,977","1,870","242,750","131,653","105,363","1,354","273,860","145,240","123,108","320,903","167,168","148,683","265,732","136,468","100,537","23,918","303,694","158,699","138,978","259,978","133,770","124,101","243,263","129,569","107,677","6,017","222,743","133,177","89,566","179,046","93,391","85,655","82,757","26,129","56,628",,,,"146,106","11,281",0,"65,097","69,728","133,582","69,704",0,"63,878","115,486","56,900","58,586",0,"122,463","58,142","64,321",0,"119,957","59,917","60,040",0,"108,145","47,951","60,194","62,197","26,170",0,"36,027",0,"29,425","28,078","1,347",0,"46,533","44,293","2,240"
Texas,"11,315,056","5,259,126","5,890,347","8,993,855","3,877,868","4,685,047","283,492","7,999,532","3,308,124","4,569,843","8,087,791","3,528,633","4,479,328","7,410,765","2,832,704","4,526,917","6,407,637","2,433,746","3,799,639","137,994","5,611,644","2,459,683","2,736,167","378,537","6,154,018","2,281,815","2,496,071","1,354,781","5,427,410","2,352,748","3,036,829","5,397,571","1,949,276","3,433,428","4,541,637","1,881,147","2,510,705","111,613","4,071,884","2,082,319","1,953,300","3,472,714","1,154,291","2,298,896","3,079,406","1,266,804","1,227,844","584,269","2,626,811","1,663,185","958,566","2,311,084","1,167,567","1,121,310","22,207","1,955,545","859,958","1,080,619","14,968","2,075,946","969,228","1,102,878","1,249,577","824,235","303,467","113,776","3,920","1,150,331","821,605","191,425","1,124,531","909,974","212,692","849,736","739,952","104,661","863,426","760,348","97,959","4,450","708,999","341,032","367,036","657,509","484,605","130,023","42,881","486,641","288,767","114,538","8,121","372,461","286,514","64,999","18,963","301,778","219,489","28,530","26,745","24,896","293,757","217,302","65,666","7,870","234,008","167,200","51,242","2,791","423,706","267,432","130,641","544,786","370,434","167,520","422,145","239,148","81,144","99,688","357,513","234,883","88,422","325,305","225,309","93,141","241,726","156,428","57,893","27,405","149,555","104,755","44,800","116,594","66,546","47,468",,,,,,,"62,986",0,0,"47,548","15,438","46,808","31,169",0,"15,639","18,547","13,552","4,995",0,"15,177","10,668","4,509",0,,,,,,,,,,,,,,,,,,,
Utah,"1,505,828","560,282","865,140","1,143,732","310,676","515,231","39,608","1,020,861","251,813","740,600","958,996","327,670","596,030","927,844","241,199","663,742","770,754","203,053","515,096","35,850","665,629","221,633","361,911","66,461","744,069","183,429","322,632","203,400","647,008","207,343","428,442","629,656","155,369","469,105","604,222","124,266","439,687","30,284","541,198","182,110","337,908","478,476","126,284","323,643","422,568","156,665","238,728","26,906","400,310","219,628","180,682","374,709","169,248","205,361",100,"333,995","118,364","215,631",0,"329,554","135,364","194,190","276,305","149,151","124,402",0,"2,679","248,319","150,088","97,891","247,819","154,277","93,151","216,677","150,246","64,555","206,578","116,750","84,795","4,087","176,603","80,985","94,618","156,990","47,001","77,327","32,662","145,828","56,639","81,555","3,159","143,146","84,145","54,137","4,460","112,386","36,579","42,100","24,174","9,023","108,613","42,601","61,028","4,895","101,672","33,413","62,446","5,767","93,189","45,006","47,139","78,119","64,607","13,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"367,428","242,820","112,704","315,067","178,573","95,369","10,078","299,290","199,239","92,698","325,046","219,262","98,974","312,309","184,067","121,180","294,308","149,022","119,775","20,374","258,449","137,894","80,352","31,024","289,701","133,592","88,122","65,991","243,333","115,775","124,331","234,561","95,730","135,865","213,207","81,891","94,598","31,760","187,855","81,044","102,085","186,946","68,174","117,149","161,404","70,255","85,142","5,104","163,089","108,127","54,942","167,324","69,186","98,131",7,"152,978","42,549","110,390",39,"153,557","43,355","109,717","123,382","45,557","75,926",0,"1,279","125,361","53,820","71,527","143,062","64,269","78,371","143,689","62,124","81,023","136,980","56,266","78,984","1,533","135,191","44,440","90,404","102,917","16,124","80,498","5,964","89,961","20,919","68,212",0,"64,475","22,708","40,250",798,"62,842","15,354","23,332","22,132",928,"52,680","11,496","39,552",0,"51,888","9,777","40,459",859,"56,212","12,849","42,569","63,847","10,640","51,127","55,796","16,325","37,992",44,"65,452","16,788","45,192","59,401","17,331","39,514","64,594","18,182","45,091","1,212","64,553","20,254","44,091","52,980","10,926","41,480","56,212","12,045","44,167","55,742","13,322","42,420","44,566","8,649","33,808","1,866",217,"50,748","10,577","39,561",545,"43,890","13,044","22,173","8,621","47,922","10,948","23,132","13,837","48,829","18,049","26,780","3,970","50,773","18,009","32,445","35,031","14,037","20,994",0,0,"32,128","7,870","11,152","13,106","33,713","8,350","25,363"
Virginia,"4,460,524","2,413,568","1,962,430","3,982,752","1,981,473","1,769,443","118,274","3,854,489","1,971,820","1,822,522","3,723,260","1,959,532","1,725,005","3,198,367","1,454,742","1,716,959","2,739,447","1,217,290","1,437,490","59,398","2,416,642","1,091,060","1,138,350","159,861","2,558,665","1,038,650","1,150,517","348,639","2,191,609","859,799","1,309,162","2,146,635","796,250","1,337,078","1,866,032","752,174","989,609","95,418","1,697,094","813,896","836,554","1,457,019","438,887","988,493","1,361,491","442,387","590,319","321,833","1,042,267","558,038","481,334","771,449","362,327","404,521","4,601","697,978","267,760","386,459","43,759","619,689","268,677","349,037","419,256","200,786","172,070","43,393","2,047","388,485","242,276","145,243","346,607","235,961","109,363","334,590","234,980","98,336","297,942","203,979","89,637","2,382","305,358","140,146","164,609","223,602","139,716","73,312","10,377","230,999","141,670","87,456",807,"153,992","102,824","49,356","1,062","136,976","90,332","23,288","21,777",820,"137,065","82,946","52,572",255,"130,410","80,649","48,180",202,"264,208","146,079","115,769","294,674","154,708","135,379","292,238","164,136","113,098","12,275","304,087","152,004","150,399","284,977","145,491","139,356","211,616","128,083","83,533",0,"236,288","140,770","95,518","185,195","91,647","93,463",,,,,,,"166,891","16,198","1,887","74,325","74,481","150,233","90,083",0,"60,150","132,604","73,872","58,732",0,"92,004","46,739","45,265",0,"95,539","50,679","44,860",0,"86,394","43,757","42,637","53,945","30,556",0,"23,384",0,"45,682","34,243","11,436",3,"38,924","26,854","12,070"
Washington,"4,087,631","2,369,612","1,584,651","3,316,996","1,742,718","1,221,747","160,879","3,145,958","1,755,396","1,290,670","3,053,261","1,750,848","1,229,216","2,861,713","1,510,201","1,304,894","2,488,745","1,247,652","1,108,864","103,002","2,253,837","1,123,323","840,712","201,003","2,288,230","993,037","731,234","541,780","1,865,253","933,516","903,835","1,883,910","807,352","1,051,670","1,742,394","650,193","865,244","185,073","1,555,534","717,323","777,732","1,470,847","568,334","837,135","1,304,281","616,037","588,510","96,990","1,258,556","779,881","470,366","1,241,572","599,298","629,273","13,001","1,150,889","523,002","620,430","7,457","1,102,708","492,845","599,107","905,059","476,165","386,315",0,"31,692","856,328","486,774","361,689","793,833","462,145","322,123","692,338","459,579","206,892","614,814","353,260","208,645","17,080","500,840","156,772","335,844","421,549","42,842","220,224","150,727","398,715","84,298","223,137","8,913","380,994","183,388","167,208","22,800","322,799","86,840","70,445","113,698","40,134","183,879","58,691","106,062","14,177","145,151","28,098","101,540","10,023","107,524","44,833","57,456","93,583","53,314","39,153","87,969","29,802","36,460","19,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
