State,Year,Source,Total
Connecticut,2012,Elec,100628.0
Connecticut,2012,FossFuel,544358.0
Connecticut,2012,Geo,21.0
Connecticut,2012,Hydro,2970.0
Connecticut,2012,NatGas,236260.0
Connecticut,2012,LPG,8988.0
Connecticut,2013,Biomass,34153.0
Connecticut,2013,Coal,7679.0
Connecticut,2013,Elec,101761.0
Connecticut,2013,FossFuel,560141.0
Connecticut,2013,Geo,21.0
Connecticut,2013,Hydro,3835.0
Connecticut,2013,NatGas,241509.0
Connecticut,2013,LPG,10949.0
Connecticut,2014,Biomass,36011.0
Connecticut,2014,Coal,9097.0
Connecticut,2014,Elec,100157.0
Connecticut,2014,FossFuel,559695.0
Connecticut,2014,Geo,21.0
Connecticut,2014,Hydro,4127.0
Connecticut,2014,NatGas,240614.0
Connecticut,2014,LPG,10083.0
Delaware,2010,Biomass,6901.0
Delaware,2010,Coal,30253.0
Delaware,2010,Elec,39599.0
Delaware,2010,FossFuel,171414.0
Delaware,2010,Geo,414.0
Delaware,2010,Hydro,0.0
Delaware,2010,NatGas,56087.0
Delaware,2010,LPG,5323.0
Delaware,2011,Biomass,6781.0
Delaware,2011,Coal,17881.0
Delaware,2011,Elec,39181.0
Delaware,2011,FossFuel,201518.0
Delaware,2011,Geo,401.0
Delaware,2011,Hydro,0.0
Delaware,2011,NatGas,81710.0
Delaware,2011,LPG,4730.0
Delaware,2012,Biomass,5972.0
Delaware,2012,Coal,17384.0
Delaware,2012,Elec,39304.0
Delaware,2012,FossFuel,221203.0
Delaware,2012,Geo,430.0
Delaware,2012,Hydro,0.0
Delaware,2012,NatGas,104421.0
Delaware,2012,LPG,4306.0
Delaware,2013,Biomass,5977.0
Delaware,2013,Coal,18254.0
Delaware,2013,Elec,38719.0
Delaware,2013,FossFuel,213411.0
Delaware,2013,Geo,430.0
Delaware,2013,Hydro,0.0
Delaware,2013,NatGas,100106.0
Delaware,2013,LPG,4675.0
Delaware,2014,Biomass,6249.0
Delaware,2014,Coal,10238.0
Delaware,2014,Elec,38687.0
Delaware,2014,FossFuel,213655.0
Delaware,2014,Geo,430.0
Delaware,2014,Hydro,0.0
Delaware,2014,NatGas,106854.0
Delaware,2014,LPG,4872.0
Florida,2010,Biomass,246789.0
Florida,2010,Coal,637416.0
Florida,2010,Elec,788887.0
Florida,2010,FossFuel,3491560.0
Florida,2010,Geo,9516.0
Florida,2010,Hydro,1731.0
Florida,2010,NatGas,1180462.0
Florida,2010,LPG,20915.0
Florida,2011,Biomass,245557.0
Florida,2011,Coal,552730.0
Florida,2011,Elec,768009.0
Florida,2011,FossFuel,3357837.0
Florida,2011,Geo,9799.0
Florida,2011,Hydro,1769.0
Florida,2011,NatGas,1235953.0
Florida,2011,LPG,19205.0
Florida,2012,Biomass,244646.0
Florida,2012,Coal,482984.0
Florida,2012,Elec,752941.0
Florida,2012,FossFuel,3327632.0
Florida,2012,Geo,10056.0
Florida,2012,Hydro,1432.0
Florida,2012,NatGas,1348390.0
Florida,2012,LPG,17524.0
Florida,2013,Biomass,253961.0
Florida,2013,Coal,505155.0
Florida,2013,Elec,757189.0
Florida,2013,FossFuel,3273949.0
Florida,2013,Geo,10056.0
Florida,2013,Hydro,2425.0
Florida,2013,NatGas,1245287.0
Florida,2013,LPG,16807.0
Florida,2014,Biomass,250043.0
Florida,2014,Coal,557882.0
Florida,2014,Elec,771379.0
Florida,2014,FossFuel,3350291.0
Florida,2014,Geo,10056.0
Florida,2014,Hydro,2010.0
Florida,2014,NatGas,1246670.0
Florida,2014,LPG,16502.0
Georgia,2010,Biomass,204742.0
Georgia,2010,Coal,767906.0
Georgia,2010,Elec,479971.0
Georgia,2010,FossFuel,2324200.0
Georgia,2010,Geo,300.0
Georgia,2010,Hydro,32407.0
Georgia,2010,NatGas,541691.0
Georgia,2010,LPG,22767.0
Georgia,2011,Biomass,210583.0
Georgia,2011,Coal,634756.0
Georgia,2011,Elec,465298.0
Georgia,2011,FossFuel,2142535.0
Georgia,2011,Geo,291.0
Georgia,2011,Hydro,26282.0
Georgia,2011,NatGas,532310.0
Georgia,2011,LPG,18607.0
Georgia,2012,Biomass,207725.0
Georgia,2012,Coal,435546.0
Georgia,2012,Elec,446900.0
Georgia,2012,FossFuel,1946907.0
Georgia,2012,Geo,315.0
Georgia,2012,Hydro,21281.0
Georgia,2012,NatGas,625008.0
Georgia,2012,LPG,20507.0
Georgia,2013,Biomass,233509.0
Georgia,2013,Coal,426184.0
Georgia,2013,Elec,445257.0
Georgia,2013,FossFuel,1928374.0
Georgia,2013,Geo,315.0
Georgia,2013,Hydro,35431.0
Georgia,2013,NatGas,635287.0
Georgia,2013,LPG,17424.0
Georgia,2014,Biomass,252985.0
Georgia,2014,Coal,482657.0
Georgia,2014,Elec,463315.0
Georgia,2014,FossFuel,1985059.0
Georgia,2014,Geo,315.0
Georgia,2014,Hydro,29142.0
Georgia,2014,NatGas,666771.0
Georgia,2014,LPG,19087.0
Hawaii,2010,Biomass,10448.0
Hawaii,2010,Coal,17117.0
Hawaii,2010,Elec,34176.0
Hawaii,2010,FossFuel,259018.0
Hawaii,2010,Geo,1964.0
Hawaii,2010,Hydro,687.0
Hawaii,2010,NatGas,2732.0
Hawaii,2010,LPG,3155.0
Hawaii,2011,Biomass,10550.0
Hawaii,2011,Coal,16080.0
Hawaii,2011,Elec,33989.0
Hawaii,2011,FossFuel,265505.0
Hawaii,2011,Geo,2183.0
Hawaii,2011,Hydro,905.0
Hawaii,2011,NatGas,2744.0
Hawaii,2011,LPG,3397.0
Hawaii,2012,Biomass,9604.0
Hawaii,2012,Coal,16572.0
Hawaii,2012,Elec,32889.0
Hawaii,2012,FossFuel,256754.0
Hawaii,2012,Geo,2491.0
Hawaii,2012,Hydro,1090.0
Hawaii,2012,NatGas,2813.0
Hawaii,2012,LPG,3441.0
Hawaii,2013,Biomass,11179.0
Hawaii,2013,Coal,15306.0
Hawaii,2013,Elec,32425.0
Hawaii,2013,FossFuel,252836.0
Hawaii,2013,Geo,2630.0
Hawaii,2013,Hydro,747.0
Hawaii,2013,NatGas,2805.0
Hawaii,2013,LPG,3211.0
Hawaii,2014,Biomass,10950.0
Hawaii,2014,Coal,17241.0
Hawaii,2014,Elec,32330.0
Hawaii,2014,FossFuel,250786.0
Hawaii,2014,Geo,2422.0
Hawaii,2014,Hydro,895.0
Hawaii,2014,NatGas,2805.0
Hawaii,2014,LPG,3192.0
Idaho,2010,Biomass,33561.0
Idaho,2010,Coal,8527.0
Idaho,2010,Elec,77786.0
Idaho,2010,FossFuel,250946.0
Idaho,2010,Geo,2120.0
Idaho,2010,Hydro,89309.0
Idaho,2010,NatGas,85075.0
Idaho,2010,LPG,5268.0
Idaho,2011,Biomass,31192.0
Idaho,2011,Coal,7846.0
Idaho,2011,Elec,79403.0
Idaho,2011,FossFuel,247718.0
Idaho,2011,Geo,2164.0
Idaho,2011,Hydro,130241.0
Idaho,2011,NatGas,83947.0
Idaho,2011,LPG,5715.0
Idaho,2012,Biomass,31038.0
Idaho,2012,Coal,5186.0
Idaho,2012,Elec,80905.0
Idaho,2012,FossFuel,248082.0
Idaho,2012,Geo,2213.0
Idaho,2012,Hydro,104109.0
Idaho,2012,NatGas,90339.0
Idaho,2012,LPG,5318.0
Idaho,2013,Biomass,33286.0
Idaho,2013,Coal,7965.0
Idaho,2013,Elec,82598.0
Idaho,2013,FossFuel,270907.0
Idaho,2013,Geo,1881.0
Idaho,2013,Hydro,80845.0
Idaho,2013,NatGas,106356.0
Idaho,2013,LPG,6604.0
Idaho,2014,Biomass,40040.0
Idaho,2014,Coal,7472.0
Idaho,2014,Elec,79272.0
Idaho,2014,FossFuel,260704.0
Idaho,2014,Geo,2252.0
Idaho,2014,Hydro,85611.0
Idaho,2014,NatGas,94319.0
Idaho,2014,LPG,4962.0
Illinois,2010,Biomass,147792.0
Illinois,2010,Coal,1069037.0
Illinois,2010,Elec,493923.0
Illinois,2010,FossFuel,3225698.0
Illinois,2010,Geo,1965.0
Illinois,2010,Hydro,1157.0
Illinois,2010,NatGas,974412.0
Illinois,2010,LPG,71671.0
Illinois,2011,Biomass,133873.0
Illinois,2011,Coal,1052224.0
Illinois,2011,Elec,487526.0
Illinois,2011,FossFuel,3212010.0
Illinois,2011,Geo,1905.0
Illinois,2011,Hydro,1365.0
Illinois,2011,NatGas,997722.0
Illinois,2011,LPG,66874.0
Illinois,2012,Biomass,132247.0
Illinois,2012,Coal,969294.0
Illinois,2012,Elec,489758.0
Illinois,2012,FossFuel,3044403.0
Illinois,2012,Geo,2042.0
Illinois,2012,Hydro,1058.0
Illinois,2012,NatGas,950711.0
Illinois,2012,LPG,65531.0
