State,Year,TotalC,TotalP,TotalE,TotalPrice,BiomassC,CoalC,CoalP,CoalE,CoalPrice,ElecC,ElecE,ElecPrice,FossFuelC,GeoC,GeoP,HydroC,HydroP,NatGasC,NatGasE,NatGasPrice,LPGC,LPGE,LPGPrice,GDP,POPESTIMATE
Hawaii,2013,281329.0,25465.0,7645.3,38.6,11179.0,15306.0,0.0,32.4,2.12,32425.0,3153.6,97.51,252836.0,2630.0,275.0,747.0,78.0,2805.0,118.2,42.15,3211.0,104.6,32.58,74011.75,1408987.0
Hawaii,2014,281206.0,27166.0,7378.6,37.38,10950.0,17241.0,0.0,44.7,2.59,32330.0,3159.3,98.0,250786.0,2422.0,254.0,895.0,94.0,2805.0,117.0,41.71,3192.0,106.6,33.38,76424.75,1419561.0
Idaho,2010,516120.0,130652.0,5683.2,17.14,33561.0,8527.0,0.0,20.1,2.35,77786.0,1491.9,19.18,250946.0,2120.0,72.0,89309.0,9154.0,85075.0,571.8,7.4,5268.0,126.8,24.08,55420.25,1570639.0
Idaho,2011,516978.0,176717.0,6621.1,19.65,31192.0,7846.0,0.0,19.9,2.53,79403.0,1498.2,18.87,247718.0,2164.0,63.0,130241.0,13405.0,83947.0,589.7,7.5,5715.0,152.3,26.65,57081.0,1583780.0
Idaho,2012,510869.0,154829.0,6720.4,20.19,31038.0,5186.0,0.0,15.8,3.04,80905.0,1642.0,20.3,248082.0,2213.0,75.0,104109.0,10940.0,90339.0,543.6,6.43,5318.0,118.5,22.29,58544.75,1595590.0
Idaho,2013,526613.0,138799.0,6990.4,20.2,33286.0,7965.0,0.0,21.8,2.73,82598.0,1832.6,22.19,270907.0,1881.0,40.0,80845.0,8473.0,106356.0,620.5,6.19,6604.0,159.5,24.15,61110.75,1612843.0
Idaho,2014,519935.0,154936.0,6980.2,20.43,40040.0,7472.0,0.0,24.4,3.26,79272.0,1841.5,23.23,260704.0,2252.0,79.0,85611.0,9002.0,94319.0,608.5,6.74,4962.0,128.6,25.92,63364.0,1634464.0
Illinois,2010,3955091.0,2090939.0,45326.7,17.39,147792.0,1069037.0,767419.0,1978.6,1.85,493923.0,13111.8,26.82,3225698.0,1965.0,0.0,1157.0,119.0,974412.0,7741.3,8.34,71671.0,1521.1,21.7,653164.0,12840097.0
Illinois,2011,3937616.0,2189423.0,50877.8,19.53,133873.0,1052224.0,864228.0,2093.0,1.99,487526.0,12722.1,26.38,3212010.0,1905.0,0.0,1365.0,140.0,997722.0,7471.4,7.87,66874.0,1615.6,24.45,679269.0,12858725.0
Illinois,2012,3820547.0,2436702.0,47883.4,19.35,132247.0,969294.0,1094204.0,2134.0,2.2,489758.0,11958.3,24.7,3044403.0,2042.0,0.0,1058.0,111.0,950711.0,6159.4,6.84,65531.0,1362.5,21.01,712604.25,12873763.0
Illinois,2013,3991089.0,2519993.0,49122.2,18.54,135697.0,1026925.0,1149607.0,2128.4,2.07,483838.0,11518.5,24.35,3266060.0,2042.0,0.0,1148.0,120.0,1073734.0,7260.8,7.2,78680.0,1770.1,22.59,720494.5,12890552.0
Illinois,2014,4042313.0,2683815.0,51550.0,19.02,138402.0,1017855.0,1293541.0,2154.5,2.12,482935.0,13026.9,27.6,3304158.0,2042.0,0.0,1258.0,132.0,1116417.0,9087.5,8.62,67730.0,1697.4,25.66,742027.75,12880580.0
