State,Year,Source,Total
Nevada,2013,GD,126935.5
Nevada,2014,Coal,0.0
Nevada,2014,Geo,2729.0
Nevada,2014,Hydro,2389.0
Nevada,2014,GD,134052.25
New Hampshire,2010,Coal,0.0
New Hampshire,2010,Geo,0.0
New Hampshire,2010,Hydro,1478.0
New Hampshire,2010,GD,62678.75
New Hampshire,2011,Coal,0.0
New Hampshire,2011,Geo,0.0
New Hampshire,2011,Hydro,1605.0
New Hampshire,2011,GD,64097.5
New Hampshire,2012,Coal,0.0
New Hampshire,2012,Geo,0.0
New Hampshire,2012,Hydro,1289.0
New Hampshire,2012,GD,66012.75
New Hampshire,2013,Coal,0.0
New Hampshire,2013,Geo,0.0
New Hampshire,2013,Hydro,1427.0
New Hampshire,2013,GD,67306.5
New Hampshire,2014,Coal,0.0
New Hampshire,2014,Geo,0.0
New Hampshire,2014,Hydro,1381.0
New Hampshire,2014,GD,70345.25
New Jersey,2010,Coal,0.0
New Jersey,2010,Geo,0.0
New Jersey,2010,Hydro,18.0
New Jersey,2010,GD,492990.0
New Jersey,2011,Coal,0.0
New Jersey,2011,Geo,0.0
New Jersey,2011,Hydro,24.0
New Jersey,2011,GD,497571.0
New Jersey,2012,Coal,0.0
New Jersey,2012,Geo,0.0
New Jersey,2012,Hydro,11.0
New Jersey,2012,GD,518422.5
New Jersey,2013,Coal,0.0
New Jersey,2013,Geo,0.0
New Jersey,2013,Hydro,18.0
New Jersey,2013,GD,530091.25
New Jersey,2014,Coal,0.0
New Jersey,2014,Geo,0.0
New Jersey,2014,Hydro,17.0
New Jersey,2014,GD,545374.25
New Mexico,2010,Coal,381448.0
New Mexico,2010,Geo,0.0
New Mexico,2010,Hydro,217.0
New Mexico,2010,GD,86194.75
New Mexico,2011,Coal,405952.0
New Mexico,2011,Geo,0.0
New Mexico,2011,Hydro,195.0
New Mexico,2011,GD,89543.25
New Mexico,2012,Coal,409050.0
New Mexico,2012,Geo,0.0
New Mexico,2012,Hydro,223.0
New Mexico,2012,GD,90535.25
New Mexico,2013,Coal,400228.0
New Mexico,2013,Geo,0.0
New Mexico,2013,Hydro,92.0
New Mexico,2013,GD,91344.5
New Mexico,2014,Coal,400158.0
New Mexico,2014,Geo,9.0
New Mexico,2014,Hydro,98.0
New Mexico,2014,GD,94791.5
New York,2010,Coal,0.0
New York,2010,Geo,0.0
New York,2010,Hydro,25472.0
New York,2010,GD,1208079.25
New York,2011,Coal,0.0
New York,2011,Geo,0.0
New York,2011,Hydro,27997.0
New York,2011,GD,1231935.75
New York,2012,Coal,0.0
New York,2012,Geo,0.0
New York,2012,Hydro,24652.0
New York,2012,GD,1299813.5
New York,2013,Coal,0.0
New York,2013,Geo,0.0
New York,2013,Hydro,24973.0
New York,2013,GD,1335063.5
New York,2014,Coal,0.0
New York,2014,Geo,0.0
New York,2014,Hydro,26087.0
New York,2014,GD,1385776.25
North Carolina,2010,Coal,0.0
North Carolina,2010,Geo,0.0
North Carolina,2010,Hydro,4757.0
North Carolina,2010,GD,417375.5
North Carolina,2011,Coal,0.0
North Carolina,2011,Geo,0.0
North Carolina,2011,Hydro,3893.0
North Carolina,2011,GD,428730.75
North Carolina,2012,Coal,0.0
North Carolina,2012,Geo,0.0
North Carolina,2012,Hydro,3728.0
North Carolina,2012,GD,439332.5
North Carolina,2013,Coal,0.0
North Carolina,2013,Geo,0.0
North Carolina,2013,Hydro,6901.0
North Carolina,2013,GD,454450.0
North Carolina,2014,Coal,0.0
North Carolina,2014,Geo,0.0
North Carolina,2014,Hydro,4756.0
North Carolina,2014,GD,474355.25
North Dakota,2010,Coal,377669.0
North Dakota,2010,Geo,0.0
North Dakota,2010,Hydro,2042.0
North Dakota,2010,GD,36033.0
North Dakota,2011,Coal,367624.0
North Dakota,2011,Geo,0.0
North Dakota,2011,Hydro,2580.0
North Dakota,2011,GD,42122.75
North Dakota,2012,Coal,366826.0
North Dakota,2012,Geo,0.0
North Dakota,2012,Hydro,2477.0
North Dakota,2012,GD,52197.25
North Dakota,2013,Coal,369479.0
North Dakota,2013,Geo,0.0
North Dakota,2013,Hydro,1852.0
North Dakota,2013,GD,54441.25
North Dakota,2014,Coal,389673.0
North Dakota,2014,Geo,0.0
North Dakota,2014,Hydro,2531.0
North Dakota,2014,GD,58230.0
Ohio,2010,Coal,644947.0
Ohio,2010,Geo,0.0
Ohio,2010,Hydro,429.0
Ohio,2010,GD,494736.25
Ohio,2011,Coal,679187.0
Ohio,2011,Geo,0.0
Ohio,2011,Hydro,384.0
Ohio,2011,GD,521870.0
Ohio,2012,Coal,642149.0
Ohio,2012,Geo,0.0
Ohio,2012,Hydro,414.0
Ohio,2012,GD,544551.75
Ohio,2013,Coal,612270.0
Ohio,2013,Geo,0.0
Ohio,2013,Hydro,549.0
Ohio,2013,GD,558969.0
Ohio,2014,Coal,541830.0
Ohio,2014,Geo,0.0
Ohio,2014,Hydro,478.0
Ohio,2014,GD,588827.75
Oklahoma,2010,Coal,17580.0
Oklahoma,2010,Geo,0.0
Oklahoma,2010,Hydro,2809.0
Oklahoma,2010,GD,151317.5
Oklahoma,2011,Coal,19094.0
Oklahoma,2011,Geo,0.0
Oklahoma,2011,Hydro,1507.0
Oklahoma,2011,GD,165277.5
Oklahoma,2012,Coal,22004.0
Oklahoma,2012,Geo,0.0
Oklahoma,2012,Hydro,1146.0
Oklahoma,2012,GD,173911.5
Oklahoma,2013,Coal,25054.0
Oklahoma,2013,Geo,0.0
Oklahoma,2013,Hydro,2178.0
Oklahoma,2013,GD,182447.25
Oklahoma,2014,Coal,20607.0
